WKT,ID,Date,Extent_km,Cer
"POINT (24.5944083174136 -30.6385334625264)","1","1999",1137.68,"100"
"POINT (18.5559072877887 4.39601827533102)","2","1997",9.97,"100"
"POINT (31.2591571792575 -5.79272145275123)","3","1995",138.195,"75"
"POINT (15.7844848111729 4.25628030377274)","4","1995",3.87,"75"
"POINT (-11.2048933865719 18.157744684576)","5","1993",25.105,"75"
"POINT (32.41667 -28.4)","6","1990",1.48,"75"
"POINT (32.41667 -28.2)","7","1988",2,"75"
"POINT (32.55 -28.11667)","8","1987",98,"75"
"POINT (32.41667 -28.4)","9","1987",1.48,"100"
"POINT (32.4149233170678 -28.3721587058042)","10","1986",1.32,"75"
"POINT (23.67951899714 -2.69308759434963)","11","1986",1356.27,"100"
"POINT (32.41667 -28.4)","12","1985",1.48,"75"
"POINT (32.41667 -28.38333)","13","1985",3.58,"75"
"POINT (36.8446267797858 -1.29633882362045)","14","1979",22.14,"50"
"POINT (36.8446267797858 -1.29633882362045)","15","1979",22.14,"50"
"POINT (30.8963243511262 29.2589592814419)","16","1979",0.6,"50"
"POINT (16.5691223404335 14.273423835274)","17","1977",3212.59,"75"
"POINT (29.9447420857486 26.4764984377786)","18","1977",732.32,"100"
"POINT (20.3657335294604 8.27217296269523)","19","1977",4865.12,"75"
"POINT (1.99624864040679 7.18173249509494)","20","1977",3.36,"75"
"POINT (1.99624864040679 7.18173249509494)","21","1977",3.36,"75"
"POINT (1.99624864040679 7.18173249509494)","22","1977",3.36,"75"
"POINT (1.99624864040679 7.18173249509494)","23","1977",3.36,"75"
"POINT (30.8960573381342 29.2585510584857)","24","1976",0.6,"75"
"POINT (30.8963243511262 29.2589592814419)","25","1976",0.6,"75"
"POINT (39.5728158873702 8.68665780525148)","26","1974",926.69,"100"
"POINT (23.4686050994075 -34.0012903631923)","27","1974",0.05062,"75"
"POINT (9.463196 4.44024)","28","1973",3.036,"100"
"POINT (9.463196 4.44024)","29","1973",3.036,"100"
"POINT (9.463196 4.44024)","30","1973",3.036,"100"
"POINT (9.0667 4.5333)","31","1973",1083.34,"100"
"POINT (9.0667 4.5333)","32","1972",1097.28,"100"
"POINT (9.4881 4.7317)","33","1972",3036,"50"
"POINT (-11.7895057706372 8.5595049700914)","34","1971",178.92,"100"
"POINT (35.909867225489 3.52057670321264)","35","1971",3.26,"100"
"POINT (23.67951899714 -2.69308759434963)","36","1971",1356.27,"100"
"POINT (9.27735412161009 5.02143749783707)","37","1971",169.51,"75"
"POINT (9.27735412161009 5.02143749783707)","38","1971",169.51,"75"
"POINT (9.27735412161009 5.02143749783707)","39","1971",169.51,"75"
"POINT (37.8036734329895 6.18459372147654)","40","1969",87.61,"100"
"POINT (31.8738156373835 -16.6650076807883)","41","1969",506.14,"100"
"POINT (31.8738156373835 -16.6650076807883)","42","1969",506.14,"100"
"POINT (9.25553096824116 4.18815820439872)","43","1968",35.76,"75"
"POINT (31.8738156373835 -16.6650076807883)","44","1968",506.14,"100"
"POINT (32.2523643011119 1.55341888662038)","45","1967",433.33,"100"
"POINT (32.2523643011119 1.55341888662038)","46","1967",433.33,"100"
"POINT (32.2523643011119 1.55341888662038)","47","1967",433.33,"100"
