ecatalogue_key,DarCatalogNumber,Date,DarFamily,DarScientificName,DarTypeStatus,DarPrep,Seen in Collections,DarAge,DarCountry,CatKindOfCollection,DarContinentOcean,DarDecimalLatitude,DarDecimalLongitude,DarLocality,AquNamedTributary1,Locality,Keep ,Lat,Long,Extent ,Cer,Notes,LocNhmVerbatimLocality,MovedTo,DarOrigin,DarOldRisplipLocationLables,DarNotes,,
1,1862.7.17.8,1862,Crocodylidae,Crocodylus niloticus,,Stuffed,,,,Skin,,,,Nile,,,Y,19.54660139,33.08353777,2100.19,75.00,,,,Pres:Dr.Balfour Baikie,19A1/R1/S3/B6/26,"9'1"", Niger Expedition, Dr Baikie's expedition , most data consistent across catalogue, Emu and register",,
2,1977.446,1977,Crocodylidae,Crocodylus niloticus,,Stuffed,,,,,,,,Zirca River,,Zirca River,N,,,,,Could not locate,at Ruslip (Wandsworth),,,19A1/R1/S4/B7/38,"8'9', most data consistent across catalogue, Emu and register",,
3,1876.5.21.5,1876,Crocodylidae,Crocodylus niloticus,,Stuffed,,Young,Madagascar,,,,,,,,Y,-20.9852726,46.06554376,1008.51,100.00,,at Ruslip (Wandsworth),,Purch:E.Gerrard ,19A1/R1/S3/B7/27,"6'9"",, most data consistent across catalogue, Emu and register",,
4,1977.452,1977,Crocodylidae,Crocodylus niloticus,,Stuffed,,Adult,,,Indian Ocean,18.83,59,Off Oman,,Off Oman,N,,,,,,at Ruslip (Wandsworth),,,19A1/R1/S2/S2/B6/14,"10'3"", check original register again, as label says West Africa, also says no data crossed out, West.A may have been added later on, this is not the original locality data, has been added later, including georeferencing,",,
5,1977.451,1844,Crocodylidae,Crocodylus niloticus,,10'Stuffed,,,,,Indian Ocean,18.83,59,Off Oman,,Off Oman,Y,-1.971351716,68.33,2285.52,25.00,Mid point between the centre of Oman and the Indian Ocean,at Ruslip (Wandsworth),,,,"10'7"",Probably at Lord Derby Spec. of Grey 1844, at """"",,
6,1977.453,1977,Crocodylidae,Crocodylus niloticus,,Stuffed,,,,,Indian Ocean,18.83,59,Off Oman,,Off Oman,N,15.49736391,3.54,2191.37,25.00,"West Africa, Mid point eyeballed",at Ruslip (Wandsworth),,,19A1/R1/S1/B9/7,"9'8"",  check original register again, as label says ""West Africa"" (in inverted commas), also says no data crossed out, West.A may have been added later on, this is not the original locality data, has been added later, including georeferencing ",,
7,1977.454,1844,Crocodylidae,Crocodylus niloticus,,9'Stuffed,,,,,Indian Ocean,18.83,59,Off Oman,,Off Oman,Y,-1.971351716,68.33,2285.52,25.00,Mid point between the centre of Oman and the Indian Ocean,at Ruslip (Wandsworth),,,19A1/R1/S2/B5/13,"Probably at Lord Derby Spec. of Grey 1844, at ""8'6 (this info is in the catalogue but not the  register), this is not the original locality data, this locality data seems to have been added later, including georeferencing  (label says no data)",,
8,1977.448,1977,Crocodylidae,Crocodylus niloticus,,Mummified ,,,,,Indian Ocean,18.83,59,Off Oman,,Off Oman,N,15.49736391,3.54,2191.37,25.00,"West Africa, Mid point eyeballed",at Ruslip (Wandsworth),,,19A1/R1/S2/B7/15,"10'11"", check original register again, as label says West Africa, also says no data crossed out, West.A may have been added later on, this is not the original locality data, has been added later, including georeferencing ",,
9,1865.3.16.3,1865,Crocodylidae,Crocodylus niloticus,,,,,,,,,,Egypt,,Nile,Y,19.54660139,33.08353777,2100.19,75.00,,at Ruslip (Wandsworth),,Presented by J. Lenox Cunningham Dq.,,"Presented by J.Lenox Cunningham Dq.,most data consistent across catalogue, Emu and register",,
10,1977.456,1977,Crocodylidae,Crocodylus niloticus,,6'Stuffed,,,,,,,,N. Africa,,N. Africa,Y,14.27342384,16.57,3212.59,75.00,Mid point eyeballed ,at Ruslip (Wandsworth),,,19A/1/R1/S4/B6/36,"6'11"" or 6""1",,
