ID,Date,Extent_km,Cer,primf_1850,primf_1900,primf_1950,primf_2000,primn_1850,primn_1900,primn_1950,primn_2000,urban_1850,urban_1900,urban_1950,urban_2000
"1","1999",1137.68,"100",0,0,0,0,-0.561691825088928,-0.396043394503067,-0.090915215012501,-0.000599726612563245,0,0,0,0
"2","1997",9.97,"100",-0.200302302837372,-0.198732674121857,-0.100431978702545,-0.020018607378006,0,0,0,0,0.0654608812183142,0.0599788883700967,0.0389733910560608,0.0207369029521942
"3","1995",138.195,"75",0,0,0,0,-0.0314192771911621,-0.0314192771911621,-0.0252281427383423,-0.019885241985321,0,0,0,0
"4","1995",3.87,"75",-0.111637592315674,-0.103447437286377,-0.0431539416313171,-0.00994569063186646,0,0,0,0,0.0146735773887485,0.0135817464906722,0.0080241747200489,0.00454413238912821
"5","1993",25.105,"75",0,0,0,0,-0.128658942878246,-0.104292593896389,-0.0365400612354279,-0.011174775660038,0,0,0,0
"6","1990",1.48,"75",0,0,0,0,-0.484156634658575,-0.394132133573294,-0.20095719024539,-0.0138552337884903,0,0,0,0
"7","1988",2,"75",0,0,0,0,-0.491583044175059,-0.396388823632151,-0.194165135268122,-0.0133665674366057,0.00790093932300806,0.00743943810812198,0.00626975181512535,0.00185655197128654
"8","1987",98,"75",0,0,0,0,-0.117473487975076,-0.0935131509322673,-0.04047438246198,-0.00243075331673026,0,0,0,0
"9","1987",1.48,"100",0,0,0,0,-0.484156634658575,-0.394132133573294,-0.20095719024539,-0.0138552337884903,0,0,0,0
"10","1986",1.32,"75",0,0,0,0,-0.484156634658575,-0.394132133573294,-0.20095719024539,-0.0138552337884903,0,0,0,0
"11","1986",1356.27,"100",-0.0796412825584412,-0.0779523253440857,-0.0733830332756042,-0.0360289216041565,0,0,0,0,0,0,0,0
"12","1985",1.48,"75",0,0,0,0,-0.484156634658575,-0.394132133573294,-0.20095719024539,-0.0138552337884903,0,0,0,0
"13","1985",3.58,"75",0,0,0,0,-0.484156634658575,-0.394132133573294,-0.20095719024539,-0.0138552337884903,0,0,0,0
